NaN check X: False
NaN check Y: False
Data shape: torch.Size([20, 8, 2]) torch.Size([20, 12, 2])
Epoch 0 Loss 0.448611
Epoch 1 Loss 0.448432
Epoch 2 Loss 0.448253
Epoch 3 Loss 0.448076
Epoch 4 Loss 0.447899
Epoch 5 Loss 0.447722
Epoch 6 Loss 0.447547
Epoch 7 Loss 0.447372
Epoch 8 Loss 0.447197
Epoch 9 Loss 0.447024
Epoch 10 Loss 0.446851
Epoch 11 Loss 0.446678
Epoch 12 Loss 0.446506
Epoch 13 Loss 0.446335
Epoch 14 Loss 0.446165
Epoch 15 Loss 0.445995
Epoch 16 Loss 0.445826
Epoch 17 Loss 0.445657
Epoch 18 Loss 0.445489
Epoch 19 Loss 0.445321
Epoch 20 Loss 0.445154
Epoch 21 Loss 0.444988
Epoch 22 Loss 0.444822
Epoch 23 Loss 0.444656
Epoch 24 Loss 0.444491
Epoch 25 Loss 0.444327
Epoch 26 Loss 0.444162
Epoch 27 Loss 0.443999
Epoch 28 Loss 0.443835
Epoch 29 Loss 0.443672
Epoch 30 Loss 0.443510
Epoch 31 Loss 0.443347
Epoch 32 Loss 0.443185
Epoch 33 Loss 0.443024
Epoch 34 Loss 0.442862
Epoch 35 Loss 0.442701
Epoch 36 Loss 0.442541
Epoch 37 Loss 0.442380
Epoch 38 Loss 0.442220
Epoch 39 Loss 0.442060
Epoch 40 Loss 0.441900
Epoch 41 Loss 0.441740
Epoch 42 Loss 0.441581
Epoch 43 Loss 0.441422
Epoch 44 Loss 0.441262
Epoch 45 Loss 0.441103
Epoch 46 Loss 0.440944
Epoch 47 Loss 0.440786
Epoch 48 Loss 0.440627
Epoch 49 Loss 0.440468
Epoch 50 Loss 0.440309
Epoch 51 Loss 0.440150
Epoch 52 Loss 0.439992
Epoch 53 Loss 0.439833
Epoch 54 Loss 0.439674
Epoch 55 Loss 0.439515
Epoch 56 Loss 0.439356
Epoch 57 Loss 0.439197
Epoch 58 Loss 0.439038
Epoch 59 Loss 0.438878
Epoch 60 Loss 0.438719
Epoch 61 Loss 0.438559
Epoch 62 Loss 0.438399
Epoch 63 Loss 0.438239
Epoch 64 Loss 0.438078
Epoch 65 Loss 0.437918
Epoch 66 Loss 0.437757
Epoch 67 Loss 0.437595
Epoch 68 Loss 0.437434
Epoch 69 Loss 0.437272
Epoch 70 Loss 0.437109
Epoch 71 Loss 0.436946
Epoch 72 Loss 0.436783
Epoch 73 Loss 0.436619
Epoch 74 Loss 0.436455
Epoch 75 Loss 0.436290
Epoch 76 Loss 0.436125
Epoch 77 Loss 0.435959
Epoch 78 Loss 0.435793
Epoch 79 Loss 0.435626
Epoch 80 Loss 0.435458
Epoch 81 Loss 0.435290
Epoch 82 Loss 0.435121
Epoch 83 Loss 0.434951
Epoch 84 Loss 0.434781
Epoch 85 Loss 0.434610
Epoch 86 Loss 0.434438
Epoch 87 Loss 0.434265
Epoch 88 Loss 0.434092
Epoch 89 Loss 0.433917
Epoch 90 Loss 0.433742
Epoch 91 Loss 0.433565
Epoch 92 Loss 0.433388
Epoch 93 Loss 0.433210
Epoch 94 Loss 0.433030
Epoch 95 Loss 0.432850
Epoch 96 Loss 0.432668
Epoch 97 Loss 0.432486
Epoch 98 Loss 0.432302
Epoch 99 Loss 0.432117
LSTM: {'ADE': 0.7637958526611328, 'FDE': 1.029384970664978, 'Failures': 9}
Linear: {'ADE': 0.16194486618041992, 'FDE': 0.41642969846725464, 'Failures': 0}
